book_id,title,author,genre,avg_sentence_length,std_sentence_length,median_sentence_length,pct_short_sentences,pct_long_sentences,max_sentence_length,min_sentence_length,avg_word_length,std_word_length,type_token_ratio,pct_hapax_legomena,pct_unique_words,lexical_density,total_words,unique_words,pct_unique_lemmas,num_chapters,avg_chapter_length,std_chapter_length,pct_exclamation,pct_question,pct_comma,pct_semicolon,pct_colon,pct_dash,pct_quote,pct_dialogue_lines,pct_named_entities
26031,"Memoirs and Correspondence of Admiral Lord de Saumarez, Vol. I",Sir John Ross,Biography,20.603435399551906,21.403402048879776,14.0,28.32337565347274,25.280059746079164,188.0,1.0,4.8004131022885135,2.7769948676036638,0.11823682094026468,53.77599134266059,11.823682094026468,0.5831871024347445,109416,12937,11.823682094026468,34,372.7352941176471,428.0114971534079,0.013355477238338704,0.0032995884941777976,1.4768015360370057,0.19247599549370487,0.05279341590684476,0.4192048620222078,0.18886216047627202,8.428998270168265,0.0
5862,"The Memoirs of General Ulysses S. Grant, Part 3.",Ulysses S. Grant,Biography,20.946343779677115,12.807823034636444,19.0,6.790123456790123,19.08831908831909,127.0,1.0,4.688205244636167,2.630570828972935,0.1442615506867976,54.375196726471515,14.42615506867976,0.5778862526961063,44045,6354,14.42615506867976,13,319.9230769230769,103.21334256209434,0.0007970731474027372,0.0015941462948054744,0.9341697287560079,0.08010585131397509,0.01673853609545748,0.16539267808606795,0.20325365258769798,10.4921968787515,0.0
7851,"Memoirs of Aaron Burr, Volume 2.",Aaron Burr,Biography,15.585529157667386,15.626413580660735,12.0,25.52915766738661,12.958963282937365,233.0,1.0,4.728583946478991,2.755518841526264,0.12823900858172108,55.67245119305857,12.823900858172108,0.5728124956535043,143794,18440,12.823900858172108,42,386.35714285714283,422.1136622730316,0.010285688009670967,0.02662178073091309,1.4770247981887508,0.19579109646644263,0.014762987496233624,0.17993903612212622,0.17425165569324932,7.362529216385779,0.0
73721,Book 73721,Unknown,Biography,15.506928104575163,15.965854630832332,11.0,29.77777777777778,13.908496732026144,168.0,1.0,4.608630521746532,2.622522457793001,0.14614009702953443,59.697146185206755,14.614009702953442,0.5655289811898885,117490,17170,14.614009702953442,20,625.15,308.35000810766974,0.03617216740902851,0.05327448923840183,1.6742113635090938,0.22308692368580765,0.127132303864368,0.1704178263705695,0.0,0.0,0.0
39305,The Memoires of Casanova,Jacques Casanova de Seingalt,Biography,19.70563252098291,12.204273483491034,18.0,7.129133380523815,16.76610375164324,133.0,1.0,4.2649373891238636,2.4110085629296454,0.09509986005545758,54.79759299781182,9.509986005545757,0.5240012693854406,192219,18280,9.509986005545757,46,210.67391304347825,226.02674469953925,0.023405615380832964,0.06638147219353888,1.2821950140138663,0.1097507006933176,0.007867433741456459,0.15193981413187785,0.0,0.0,0.0
3895,"Memoirs of the Court of St. Cloud, Volume 4",Lewis Goldsmith,Biography,31.73046875,18.17142785818642,29.0,4.1015625,45.5078125,95.0,1.0,4.942793736900505,2.8427851191868654,0.28362717297497225,68.13736144316454,28.362717297497227,0.5773024288003945,16222,4601,28.362717297497227,0,0.0,0.0,0.007250655148483059,0.004143231513418891,1.7960908610670894,0.13361921630775925,0.017608733932030288,0.22891354111639373,0.1646934526584009,7.682539682539683,0.0
10884,Book 10884,Unknown,Biography,17.042595453542265,15.935257025898691,13.0,23.725446921209446,16.707128669167954,154.0,1.0,4.798902534622419,2.8523359879398025,0.13724849751763785,60.45216563541171,13.724849751763784,0.5770120198588973,153080,21010,13.724849751763784,56,313.2857142857143,348.0113254666595,0.013814869516872674,0.015948873751186338,1.4702166014297828,0.12489540571351555,0.06199843880742858,0.2940433202859566,0.6632260528222206,20.338694095584476,0.0
26456,L'oeuvre des conteurs allemands: mémoires d'une chanteuse allemande,Anonymous,Biography,15.633148905460668,10.17723090464273,14.0,7.745970651912437,8.10680779408227,89.0,1.0,4.976775724699102,2.860317729422305,0.20072739601473286,65.8042226487524,20.072739601473284,0.6166684646087934,64889,13025,20.072739601473284,0,0.0,0.0,0.04272965257703564,0.030374090386085576,1.0098098015645232,0.11634821063144644,0.03603705639027102,0.20850011197228235,1.1500969139409352,49.005203550658095,0.0
5854,"The Memoirs of General Philip H. Sheridan, Vol. I., Part 1",Philip H. Sheridan,Biography,34.44457142857143,20.04326924329421,33.0,6.057142857142857,54.285714285714285,113.0,1.0,4.744164425407577,2.722356049880775,0.21260417704286616,61.62736217398095,21.260417704286617,0.5781452335890029,30117,6403,21.260417704286617,9,316.22222222222223,120.71065292009261,0.0,0.0011548010855130203,1.3118540331427913,0.04388244124949477,0.0034644032565390613,0.26906865292453375,0.113170506380276,5.135322692574601,0.0
57738,Memoirs of Eighty Years,Thomas Gordon Hake,Biography,21.543035568829758,14.67885867152296,19.0,10.399131143089873,22.590279663317947,134.0,1.0,4.622584518167456,2.6837389717424265,0.19514691943127963,65.1382682468752,19.514691943127964,0.5640063191153238,79125,15441,19.514691943127964,0,0.0,0.0,0.038092591887174225,0.015461110824794243,1.4918851575576824,0.21399073677794933,0.026440740251097404,0.2507388842455762,0.0,0.0,0.0
13106,Book 13106,Unknown,Biography,20.482473811442386,14.709252264476776,18.0,10.55600322320709,20.40692989524577,125.0,1.0,4.550840498263597,2.607004951226668,0.17464950381415045,63.92476773170179,17.464950381415044,0.5682638936984892,101071,17652,17.464950381415044,0,0.0,0.0,0.04464555696666347,0.02454616279442055,1.8057438020938945,0.1926340167127352,0.031127380355243452,0.38348932597659935,0.29562117800236926,12.087497642843674,0.0
